19,0,0,0,0,0.500000000,1,30.000608592,0,2736.571007979,2740.844756587,283.116201112,47681,0,95357,1200718.917981201,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
20,0,0,0,0,0.500000000,1,30.000490611,0,2758.629458282,2762.900592343,283.116201112,46323,0,92641,1153017.565205655,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
22,0,0,0,0,0.500000000,1,30.000608430,0,3052.142794257,3056.410054426,283.116201112,44395,0,88785,1104979.573512426,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
21,0,0,0,0,0.500000000,1,30.000556843,0,2846.655839647,2850.925237088,283.111849945,44712,0,89419,1114486.557788827,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
23,0,0,0,0,0.500000000,1,30.000159709,0,3109.334025618,3113.600808512,283.111849945,43830,0,87655,1093178.847877027,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
24,0,0,0,0,0.500000000,1,30.000146813,0,3270.404971059,3274.504669559,282.541596969,44186,0,88091,1086192.162654788,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
26,0,0,0,0,0.500000000,1,30.000045712,0,3561.837935221,3566.633423173,282.617664511,46672,0,92567,976628.548982285,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
25,0,0,0,0,0.500000000,1,30.000408661,0,3425.152521254,3429.952360373,282.617664511,47863,0,94933,1016828.857403708,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
27,0,0,0,0,0.500000000,1,30.000761451,0,3768.981782077,3773.768822654,282.541596969,45573,0,90421,946448.375784663,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
28,0,0,0,0,0.500000000,1,30.000728500,0,3875.773953551,3880.559800675,282.617664511,45390,0,90055,941904.673801571,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
29,0,0,0,0,0.500000000,1,30.000801255,0,4168.253734665,4175.161407593,294.137929013,41106,0,81635,446914.267364052,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
30,0,0,0,0,0.500000000,1,30.000357873,0,4213.223221515,4220.128013374,294.465703530,40440,0,80303,437576.438931893,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
31,0,0,0,0,0.500000000,1,30.000162491,0,4417.013467256,4426.129934397,296.009939445,32939,0,65187,331666.189060643,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
32,0,0,0,0,0.500000000,1,30.000888197,0,4547.706273744,4556.771892146,295.616459819,31991,0,63291,321693.350751723,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
33,0,0,0,0,0.500000000,1,30.000936828,0,4610.649702821,4619.747439106,294.137929021,32557,0,64423,329234.246376984,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
11,0,0,0,0,0.500000000,2,30.000242231,0,2015.000135799,2018.264334980,306.576029937,68878,0,137754,1653028.800599911,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
12,0,0,0,0,0.500000000,2,30.000323754,0,2169.290340435,2172.554539615,306.576029937,69104,0,138206,1660979.071502420,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
13,0,0,0,0,0.500000000,2,30.000546848,0,2272.094256424,2275.358097183,306.353742701,68034,0,136066,1639782.802983955,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
2,0,0,0,0,0.500000000,3,0.000238948,1,210.419861723,210.419861723,198.583365341,1,0,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
14,0,0,0,0,0.500000000,2,30.000192648,0,2373.765186658,2377.029027417,306.353742701,67901,0,135800,1635884.832686785,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,
