5,0.5,1,120,0,1013.73,1080.54,336.135,854036,0,
5,0.5,2,0.000135603,1,671.589,671.589,290.737,1,0,
5,0.5,3,0.000142537,1,1196.02,1196.02,309.734,1,0,
5,0.5,4,0.000598978,1,1164.03,1167,370.132,10,0,
5,0.5,5,0.0006588,1,656.308,688.07,300.251,8,0,
5,0.5,6,0.000846761,1,705.34,719.642,302.801,9,0,
5,0.5,7,0.0102053,1,622.438,643.777,266.289,142,0,
5,0.5,8,0.000102332,1,487.197,487.197,244.146,1,0,
5,0.5,9,0.000235129,1,910.902,911.524,349.638,2,0,
5,0.5,10,0.00019731,1,1200.02,1202.59,313.851,2,0,
5,0.5,11,0.000245057,1,1262.86,1268.76,331.313,2,0,
5,0.5,12,0.000217457,1,1167.9,1170.48,384.788,2,0,
5,0.5,13,0.000161781,1,953.483,953.483,335.223,1,0,
5,0.5,14,0.000287286,1,827.691,833.024,249.419,2,0,
5,0.5,15,0.305729,1,1230.13,1351.91,359.525,3308,0,
5,0.5,16,0.000328354,1,983.695,989.913,264.497,4,0,
5,0.5,17,0.000211786,1,1009.39,1014.2,301.802,2,0,
5,0.5,18,0.000192468,1,884.888,885.203,380.47,2,0,
5,0.5,19,0.000197739,1,1135.52,1135.96,339.244,2,0,
5,0.5,20,0.000104606,1,590.637,590.637,231.587,1,0,
5,0.5,21,0.000258112,1,1023.41,1028.69,381.719,2,0,
5,0.5,22,0.000424924,1,1145.69,1175.86,335.109,5,0,
5,0.5,23,0.000168514,1,796.085,796.085,292.962,1,0,
5,0.5,24,120,0,1029.8,1051.96,296.278,1129950,0,
5,0.5,25,0.000325919,1,816.488,850.407,264.265,3,0,
8,0.5,1,120,0,1692.95,1761.8,337.052,811346,0,
8,0.5,2,48.5441,1,1429.5,1443.22,336.94,298703,0,
8,0.5,3,0.000288639,1,1669.23,1669.85,309.734,2,0,
8,0.5,4,0.181133,1,1555.35,1578.15,370.132,3524,0,
8,0.5,5,0.000784044,1,1260.35,1296.92,382.083,9,0,
8,0.5,6,11.8003,1,1629.34,1686.58,358.714,119919,0,
8,0.5,7,0.0206272,1,1310.06,1343.42,352.035,286,0,
