5,19.45,30,
6,10,20.8,
7,10,39.45,
8,50,20.9,
7,10,39.45,
7,10,39.45,
8,50,20.9,
5,19.45,30,
7,10,39.45,
7,10,39.45,
6,10,20.8,
7,10,39.45,
5,19.45,30,
5,19.45,30,
7,10,39.45,
6,10,20.8,
7,10,39.45,
6,10,20.8,
7,10,39.45,
9,28.9,30,
7,10,39.45,
6,10,20.8,
9,28.9,30,
9,28.9,30,
6,10,20.8,
5,19.45,30,
7,10,39.45,
10,10,48.9,
10,10,48.9,
6,10,20.8,
5,19.45,30,
7,10,39.45,
11,40.6,30,
8,50,20.9,
7,10,39.45,
5,19.45,30,
7,10,39.45,
5,19.45,30,
12,10,11.35,
13,10,30.25,
13,10,30.25,
8,50,20.9,
9,28.9,30,
7,10,39.45,
12,10,11.35,
13,10,30.25,
13,10,30.25,
10,10,48.9,
6,10,20.8,
7,10,39.45,
6,10,20.8,
9,28.9,30,
9,28.9,30,
6,10,20.8,
7,10,39.45,
7,10,39.45,
9,28.9,30,
9,28.9,30,
9,28.9,30,
10,10,48.9,
12,10,11.35,
13,10,30.25,
13,10,30.25,
10,10,48.9,
10,10,48.9,
6,10,20.8,
5,19.45,30,
9,28.9,30,
6,10,20.8,
7,10,39.45,
11,40.6,30,
8,50,20.9,
7,10,39.45,
7,10,39.45,
11,40.6,30,
7,10,39.45,
10,10,48.9,
7,10,39.45,
7,10,39.45,
10,10,48.9,
10,10,48.9,
12,10,11.35,
13,10,30.25,
10,10,48.9,
6,10,20.8,
10,10,48.9,
6,10,20.8,
7,10,39.45,
11,40.6,30,
9,28.9,30,
12,10,11.35,
13,10,30.25,
13,10,30.25,
10,10,48.9,
13,10,30.25,
11,40.6,30,
8,50,20.9,
10,10,48.9,
10,10,48.9,
9,28.9,30,
9,28.9,30,
6,10,20.8,
