5,10,20.8,
6,19.45,30,
7,10,39.45,
7,10,39.45,
7,10,39.45,
5,10,20.8,
6,19.45,30,
8,10,11.35,
9,10,48.9,
9,10,48.9,
7,10,39.45,
7,10,39.45,
5,10,20.8,
6,19.45,30,
8,10,11.35,
7,10,39.45,
8,10,11.35,
